               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,              0.0385,           0.0098344,                   0,             0.90022,             0.85911,             0.89969,             0.50691,            0.032823,           0.0052575,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.038966,           0.0095675,                   0,             0.89799,             0.86628,             0.91135,             0.51703,            0.032326,           0.0049335,                   0,           0.0085818,           0.0085818,           0.0085818
                  85,            0.039063,           0.0096567,                   0,             0.87216,             0.86459,             0.90045,              0.5056,            0.032518,            0.004948,                   0,           0.0085497,           0.0085497,           0.0085497
                  86,            0.037908,           0.0097447,                   0,             0.91422,             0.87257,              0.9159,             0.52029,            0.032054,           0.0049968,                   0,           0.0085173,           0.0085173,           0.0085173
                  87,            0.038483,           0.0096604,                   0,             0.92649,             0.86655,             0.91302,             0.51736,            0.032278,            0.004957,                   0,           0.0084846,           0.0084846,           0.0084846
                  88,            0.038664,           0.0096042,                   0,             0.89512,             0.86796,             0.90692,             0.51676,            0.032339,           0.0050931,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,              0.0379,           0.0095625,                   0,             0.90589,             0.85869,               0.908,             0.50746,            0.032753,           0.0050183,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.038176,           0.0095858,                   0,             0.89173,             0.86002,             0.90375,             0.51978,            0.031942,           0.0049975,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,            0.038289,           0.0096398,                   0,             0.92721,             0.86579,             0.91845,             0.52633,            0.031556,           0.0050042,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.038296,           0.0093701,                   0,             0.90231,             0.88281,             0.91534,             0.52035,            0.031876,           0.0049245,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,            0.037494,           0.0096349,                   0,              0.9225,             0.87216,             0.91882,             0.53653,            0.031353,           0.0047954,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.037431,           0.0097806,                   0,             0.91406,             0.86619,             0.91306,             0.52466,            0.031411,           0.0049389,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.038023,           0.0094732,                   0,             0.92695,              0.8669,             0.91433,              0.5372,            0.030876,           0.0048163,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.036933,           0.0095234,                   0,             0.91836,             0.87504,             0.91814,             0.54344,            0.030966,           0.0047969,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,            0.036713,           0.0092772,                   0,             0.89817,             0.89664,             0.92607,             0.54916,            0.030553,            0.004799,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,            0.037166,           0.0094299,                   0,             0.91657,             0.89982,             0.92883,             0.54462,            0.030606,           0.0047686,                   0,           0.0081078,           0.0081078,           0.0081078
